character,text,final_label
Charles,I think it was flan.,
Charles,"Hey, Gina. You know any scalpers? I wanna ask Rosa to go to the Rihanna concert with me, but it's sold out.",
Charles,Yeah. What's your second point?,
Charles,"Yeah, that was my ex-wife's type too.",
Charles,Cool. Where would I find a place that shows old movies?,
Charles,Great.,
Charles,Thank you.,
Charles,"Oh, man! My muffin. Ahh! Oh, my head! My muffin, my head! And I stepped on the... On my muffin! And my head and my muffin.",
Charles,"Hey, that's mine. You took it from my desk.",
Charles,Thanks!,
Charles,"Yeah, he's a little too serious. What do you think, Rosa?",
Charles,"Yeah, he seems cool. I agree.",
Charles,"Jamon lberico is an amazing cured ham from Spain. They had it at my uncle's funeral. I gorged myself at that funeral. I mean, I was constipated for three days.",
Charles,"Hey, Rosa! Rosa. Rosa! Um, I just happened to notice that there's an old movie festival playing at the film forum this week. Wanna go?",
Charles,Cool! Awesome. There's a bunch of movie options. I'll probably just go with something classic like Citizen Kane.,
Charles,Good call. Smart. I'll do it. I'll pick a better movie than Citizen Kane.,
Charles,"No surprises from the coroner. A few gunshots, shoulder and chest.",
Charles,Mm-hmm.,
Charles,Yep.,
Charles,Jamon lberico.,
Charles,Beneficio's might.,
Charles,You gotta brief the C.O. first.,
Charles,Great idea.,
Charles,"Oh! I'm Henry Morgenthau, owner of delicious and expensive hams. Don't I know you from the grocery store?",
Charles,On it!,
Charles,"Whoa, whoa, whoa, whoa, Ratko!",
Charles,That's a waste of manchego!,
Charles,"Oh, well, just to be safe, I bought tickets to all of them.",
Charles,"I don't know, I didn't wanna mess up. Because you're sort of... Opinionated.",
Charles,So we can go see North by Northwest.,
Charles,Good call. Smart. Keep it profesh.,
Charles,Why don't you just go to the movies with me?,
Charles,"Okay. Well, this is awkward.",
Charles,Stay down.,
Charles,Dream team.,
Charles,"Oh, look at this. The drug dealer got a B.A. in art history from Brooklyn college. Interesting, huh?",
Charles,"Well, it's surprising because you would think he had studied... drugs.",
Charles,"I just want to apologize for my fellow detectives’ behavior. Okay, my granny also had the gift.",
Charles,She was right. She died two years later.,
Charles,Rosa. Yes?,
Charles,Thank you.,
Charles,"Oh, no. The cabinets are blue.",
Charles,The psychic predicted the drugs would be found in something blue.,
Charles,She also made this really depressing prediction about my life.,
Charles,"And if she's right about where we find the drugs, that means she's right about the other thing.",
Charles,What color was the hamper?,
Charles,Yes. The clothes hamper was green. The clothes hamper was green! Drinks on me.,
Charles,"I hate to be the bearer of bad news, but your psychic friend's predictions about the drug case were wrong, which means all of her predictions are wrong.",
Charles,We found the cocaine behind a green hamper. Never said “green” or the letter H.,
Charles,Lady bin?,
Charles,Nothing. What about you... are doing tonight?,
Charles,"Man, you were totally right about the cocaine, and you were also right about Rosa.",
Charles,The woman I-,
Charles,"Yes, that woman.",
Charles,"Oh, my god.",
Charles,"I don’t know, man. I’m lost. The universe is a cruel and vexing puzzle. I-I’m at the whim of the cosmos.",
Charles,Choo. Yes.,
Charles,"Um, Carlene predicted if I get out of this chair, I’d get badly hurt, so I’m not chancing it. Oh, man. There’s no more pudding cups left. Ah! What’d you do that for?",
Charles,"Carlene was wrong, Gina. Rosa said it herself-- I’m in charge of my own destiny. That means she wants me to make a move.",
Charles,"No, no, she punched me to prove Carlene wrong.",
