character,text,final_label
Rosa,Maybe it was just old person gunk. You know how old people always have that gunk on them.,
Rosa,"Wait, tell us about the new Captain.",
Rosa,And go!,
Rosa,Tell me who has me for Secret Santa.,
Rosa,"Yes, you will.",
Rosa,He seems cool.,
Rosa,"Looks like the perp stole a computer, a watch, and a Jamon lberico ham, valued at... what! $6,000.",
Rosa,Sure.,
Rosa,Citizen Kane is terrible. Pick a good movie.,
Rosa,So what movie did you get us tickets to?,
Rosa,Just to be safe? What does that mean?,
Rosa,"You think I'm opinionated? Okay, here's an opinion for you. You're a bad judge of character and your shirt looks like vomit.",
Rosa,We're not seeing a movie together.,
Rosa,"Yeah, nice!",
Rosa,Here. I feel bad that you spent all that money on the movie tickets.,
Rosa,Nope.,
Rosa,It's not awkward. I like your company. You're sweet.,
Rosa,Hands behind your back! Hands behind your back!,
Rosa,A minivan? A-ha!,
Rosa,Babysitting. Ha-ha!,
Rosa,How's that interesting?,
Rosa,Also not interesting.,
Rosa,"Ugh. Really, Gina? A psychic?",
Rosa,"Thank you, Carlene. Your entire life is garbage.",
Rosa,You know what they don't teach you at the academy? It's better to be a criminal.,
Rosa,Where was it?,
Rosa,So what are you doing tonight?,
Rosa,Nothing.,
Rosa,"Don’t arrest him. Just smack him. Hard. With a phone book on a body part no one can see, you know what I’m saying?",
Rosa,"Ha, ha, I guess so, yeah. Why?",
Rosa,What’s up with the chair?,
Rosa,"There. Now you’re hurt in this chair. You can get hurt anywhere, Boyle. And if you do, it won’t be because some shoe salesman predicted it. You make your own destiny.",
Rosa,Move.,
Rosa,No. Robocop. It's got everything Ike--gratuitous violence.,
Rosa,I was. I'm done.,
Rosa,At least you get to sit on your butt all day.,
Rosa,What do you need?,
Rosa,That thing where we try to get a bunch of loser kids to become student snitches?,
Rosa,Losers.,
Rosa,Snitches. What about it?,
Rosa,Now I gotta read something?,
Rosa,You asked us to come in here.,
Rosa,"Fly to Montreal, hit a classy hotel bar, bone a stranger, slump over.",
