character,text,final_label
Charles,I think it was flan.,food
Charles,"Hey, Gina. You know any scalpers? I wanna ask Rosa to go to the Rihanna concert with me, but it's sold out.",romance
Charles,Yeah. What's your second point?,conversation_glue
Charles,"Yeah, that was my ex-wife's type too.",personal_life
Charles,Cool. Where would I find a place that shows old movies?,personal_life
Charles,Great.,conversation_glue
Charles,Thank you.,conversation_glue
Charles,"Oh, man! My muffin. Ahh! Oh, my head! My muffin, my head! And I stepped on the... On my muffin! And my head and my muffin.",food
Charles,"Hey, that's mine. You took it from my desk.",personal_life
Charles,Thanks!,conversation_glue
Charles,"Yeah, he's a little too serious. What do you think, Rosa?",personal_life
Charles,"Yeah, he seems cool. I agree.",conversation_glue
Charles,"Jamon lberico is an amazing cured ham from Spain. They had it at my uncle's funeral. I gorged myself at that funeral. I mean, I was constipated for three days.",food
Charles,"Hey, Rosa! Rosa. Rosa! Um, I just happened to notice that there's an old movie festival playing at the film forum this week. Wanna go?",romance
Charles,Cool! Awesome. There's a bunch of movie options. I'll probably just go with something classic like Citizen Kane.,personal_life
Charles,Good call. Smart. I'll do it. I'll pick a better movie than Citizen Kane.,personal_life
Charles,"No surprises from the coroner. A few gunshots, shoulder and chest.",police_work
Charles,Mm-hmm.,conversation_glue
Charles,Yep.,conversation_glue
Charles,Jamon lberico.,food
Charles,Beneficio's might.,food
Charles,You gotta brief the C.O. first.,police_work
Charles,Great idea.,conversation_glue
Charles,"Oh! I'm Henry Morgenthau, owner of delicious and expensive hams. Don't I know you from the grocery store?",food
Charles,On it!,conversation_glue
Charles,"Whoa, whoa, whoa, whoa, Ratko!",police_work
Charles,That's a waste of manchego!,food
Charles,"Oh, well, just to be safe, I bought tickets to all of them.",personal_life
Charles,"I don't know, I didn't wanna mess up. Because you're sort of... Opinionated.",emotion
Charles,So we can go see North by Northwest.,personal_life
Charles,Good call. Smart. Keep it profesh.,police_work
Charles,Why don't you just go to the movies with me?,romance
Charles,"Okay. Well, this is awkward.",emotion
Charles,Stay down.,police_work
Charles,Dream team.,emotion
Charles,"Oh, look at this. The drug dealer got a B.A. in art history from Brooklyn college. Interesting, huh?",police_work
Charles,"Well, it's surprising because you would think he had studied... drugs.",police_work
Charles,"I just want to apologize for my fellow detectives’ behavior. Okay, my granny also had the gift.",personal_life
Charles,She was right. She died two years later.,personal_life
Charles,Rosa. Yes?,conversation_glue
Charles,Thank you.,conversation_glue
Charles,"Oh, no. The cabinets are blue.",police_work
Charles,The psychic predicted the drugs would be found in something blue.,police_work
Charles,She also made this really depressing prediction about my life.,emotion
Charles,"And if she's right about where we find the drugs, that means she's right about the other thing.",police_work
Charles,What color was the hamper?,police_work
Charles,Yes. The clothes hamper was green. The clothes hamper was green! Drinks on me.,police_work
Charles,"I hate to be the bearer of bad news, but your psychic friend's predictions about the drug case were wrong, which means all of her predictions are wrong.",police_work
Charles,We found the cocaine behind a green hamper. Never said “green” or the letter H.,police_work
Charles,Lady bin?,conversation_glue
Charles,Nothing. What about you... are doing tonight?,personal_life
Charles,"Man, you were totally right about the cocaine, and you were also right about Rosa.",police_work
Charles,The woman I-,romance
Charles,"Yes, that woman.",romance
Charles,"Oh, my god.",emotion
Charles,"I don’t know, man. I’m lost. The universe is a cruel and vexing puzzle. I-I’m at the whim of the cosmos.",emotion
Charles,Choo. Yes.,conversation_glue
Charles,"Um, Carlene predicted if I get out of this chair, I’d get badly hurt, so I’m not chancing it. Oh, man. There’s no more pudding cups left. Ah! What’d you do that for?",emotion
