character,text,final_label
Rosa,Maybe it was just old person gunk. You know how old people always have that gunk on them.,insult_snark
Rosa,"Wait, tell us about the new Captain.",police_work
Rosa,And go!,conversation_glue
Rosa,Tell me who has me for Secret Santa.,insult_snark
Rosa,"Yes, you will.",conversation_glue
Rosa,He seems cool.,conversation_glue
Rosa,"Looks like the perp stole a computer, a watch, and a Jamon lberico ham, valued at... what! $6,000.",police_work
Rosa,Sure.,conversation_glue
Rosa,Citizen Kane is terrible. Pick a good movie.,insult_snark
Rosa,So what movie did you get us tickets to?,personal_life
Rosa,Just to be safe? What does that mean?,conversation_glue
Rosa,"You think I'm opinionated? Okay, here's an opinion for you. You're a bad judge of character and your shirt looks like vomit.",insult_snark
Rosa,We're not seeing a movie together.,personal_life
Rosa,"Yeah, nice!",conversation_glue
Rosa,Here. I feel bad that you spent all that money on the movie tickets.,emotion
Rosa,Nope.,conversation_glue
Rosa,It's not awkward. I like your company. You're sweet.,insult_snark
Rosa,Hands behind your back! Hands behind your back!,police_work
Rosa,A minivan? A-ha!,police_work
Rosa,Babysitting. Ha-ha!,insult_snark
Rosa,How's that interesting?,insult_snark
Rosa,Also not interesting.,insult_snark
Rosa,"Ugh. Really, Gina? A psychic?",insult_snark
Rosa,"Thank you, Carlene. Your entire life is garbage.",insult_snark
Rosa,You know what they don't teach you at the academy? It's better to be a criminal.,insult_snark
Rosa,Where was it?,conversation_glue
Rosa,So what are you doing tonight?,personal_life
Rosa,Nothing.,conversation_glue
Rosa,"Don’t arrest him. Just smack him. Hard. With a phone book on a body part no one can see, you know what I’m saying?",insult_snark
Rosa,"Ha, ha, I guess so, yeah. Why?",conversation_glue
Rosa,What’s up with the chair?,conversation_glue
Rosa,"There. Now you’re hurt in this chair. You can get hurt anywhere, Boyle. And if you do, it won’t be because some shoe salesman predicted it. You make your own destiny.",emotion
Rosa,Move.,conversation_glue
Rosa,No. Robocop. It's got everything Ike--gratuitous violence.,personal_life
Rosa,I was. I'm done.,conversation_glue
Rosa,At least you get to sit on your butt all day.,insult_snark
Rosa,What do you need?,conversation_glue
Rosa,That thing where we try to get a bunch of loser kids to become student snitches?,insult_snark
Rosa,Losers.,insult_snark
Rosa,Snitches. What about it?,insult_snark
Rosa,Now I gotta read something?,insult_snark
Rosa,You asked us to come in here.,conversation_glue
Rosa,"Fly to Montreal, hit a classy hotel bar, bone a stranger, slump over.",personal_life
Rosa,Yeah.,conversation_glue
Rosa,Yeah.,conversation_glue
Rosa,"Nah, I think I'm good.",conversation_glue
Rosa,"They don't identify with you because you're not from the streets. I am. Follow, watch, learn. All right, listen up. I know you think you're badasses. But deep down, you're scared. How do I know? Because I've been that same scared kid, and if you don't get your crap together, I'm gonna end up busting you and throwing you in jail. Got it?",police_work
Rosa,What's happening?,conversation_glue
Rosa,That's never happened before. I don't like it.,emotion
Rosa,"In this case, not being a cop might actually be better.",police_work
Rosa,You did this program?,conversation_glue
Rosa,"My oldest collar was 78, but the PCP made her fight like she was 20.",police_work
Rosa,Charles isn't talking about his oldest arrest.,personal_life
Rosa,"Come on, Peralta, Holt said to use the whole team. We all want this solved.",police_work
Rosa,"Yo, I looked at the photos of your victim on your desk.",police_work
Rosa,"The puncture wounds are similar to a case I had a while back. They aren't from a knife. I think it's something spiral, like a corkscrew.",police_work
Rosa,Don't shush me. I'm helping you.,emotion
