character,text,final_label
Terry,"JP, update on the Morgenthau murder?",Police Work
Terry,How about we focus on the murder and not the old person gunk?,Police Work
Terry,"Okay, I want you on this. It's gonna be priority one for the new C.O.",Police Work
Terry,Captain Holt will be here soon. He'll wanna introduce himself. Dismissed.,Police Work
Terry,"Yes, sir.",Conversation Glue
Terry,"Fatter, sir. They called me ""Terry tіttіеs."" Because I had large, uh...",Personal Life
Terry,"A year ago, my wife and I had twin baby girls. Cagney and Lacey.",Personal Life
Terry,"Ever since, I kinda got scared of getting hurt. Lost my edge. There was an incident in a department store.",Emotion
Terry,I’m fine. I'm fine.,Emotion
Terry,And I'm still not right.,Emotion
Terry,"Now the good ones. Rosa Diaz. Tough, smart, hard to read, and really scary.",Police Work
Terry,"Charles Boyle. He's a grinder. Not the most brilliant detective, but he works harder than anyone else. He's not physically… gifted.",Police Work
Terry,"Amy Santiago. She's got seven brothers, so she's always trying to prove she's tough.",Police Work
Terry,"She and Peralta have some big bet over who gets more arrests this year. Ever since the bet, their numbers have gone way up.",Police Work
Terry,Jacob Peralta is my best detective. He likes putting away bad guys and he loves solving puzzles. The only puzzle he hasn't solved is how to grow up.,Police Work
Terry,I’ve talked a lot about Jake in my departmentally mandated therapy sessions.,Personal Life
Terry,"Absolutely, sir. Where do we start?",Conversation Glue
Terry,"You're lucky, man. I wish I could get assigned here full-time. You could not be farther from the action.",Police Work
Terry,"You're wrong about Holt. That man has forgotten more about being a cop than you will ever know. In 1981, he caught the Disco Strangler.",Police Work
Terry,The man is the real deal. You need to listen to him.,Police Work
Terry,"Okay, detectives, let's get started. Santiago, where are we with the Jay Street drug bust?",Police Work
Terry,Good. Take Boyle and Diaz.,Police Work
Terry,"Peralta, brief us on the vandalism case.",Police Work
Terry,He can clearly spot 'em. You should take my minivan.,Personal Life
Terry,You all got a problem with my minivan?,Personal Life
Terry,"‘Cause my wife doesn't like it either. She wanted an SUV, but those things roll, man. They roll!",Personal Life
Terry,You made a mixtape?,Personal Life
Terry,"What's insane is how you refuse to get with the program. There is a new sheriff in town, Jake.",Police Work
Terry,Did he let you play your mixtape?,Personal Life
Terry,"Get an iPod, man. Mixtape?",Personal Life
Terry,"What are you doing, Peralta?",Police Work
Terry,What? There's a penis on my minivan?,Personal Life
Terry,"Baby, I've got some bad news. Someone painted a giant penis on our minivan. No, you cannot have an SUV now. Those things roll, baby. They roll!",Personal Life
Terry,Francois Truffaut's Breathless. What? Terry likes foreign films.,Personal Life
Terry,"All right, let's get started. Scully. Where are you on digitizing the old case files?",Police Work
Terry,Why are you smiling? That's nothin’.,Conversation Glue
Terry,Dismissed.,Police Work
Terry,"Oh, I love being Scary Terry. He says what regular Terry's thinking.",Emotion
Terry,This is takin' too long! I'm gonna miss the farmer's market!,Personal Life
Terry,"But I'm too busy. I've got a special case I'm working on. Uh, Hitchcock, Boyle needs you to fill out a lineup.",Police Work
Terry,Why was your hand in her back pocket?,Romance
Terry,"10,000 sit-ups.",Personal Life
Terry,"He's right. You just need a win. Pick your easiest, no-brainer case, and work it till it's done.",Police Work
Terry,Don't make me hit you again.,Insult / Snark
Terry,Um...I'm building this dollhouse for my girls. It's their birthday tomorrow. I told my wife I'd get it done.,Personal Life
Terry,"No! I can do this. It's just driving me a little crazy. Where do I affix the princess tower, Boyle?! Where do I affix it?!",Emotion
Terry,"Not now, Boyle. Let a brother breathe. Let a brother breathe.",Emotion
Terry,"Oh, my God. What happened to all the princess flourishes?",Personal Life
Terry,"Thank you, Boyle. I appreciate it.",Conversation Glue
Terry,Peralta... Where are we on the Lincoln place murder?,Police Work
Terry,"Yes, Jake. I played linebacker at Syracuse.",Personal Life
Terry,You mean drive you there and wait outside... Far away from the guns.,Emotion
Terry,"Sir, I haven't fired a weapon since the incident.",Emotion
Terry,"Actually, there was an incident after that.",Personal Life
Terry,Screaming shooting the piñata.,Personal Life
Terry,"Sir, I may not be the man for the job.",Emotion
Terry,All right. Back your left foot up a hair.,Police Work
Terry,No! Gina! We've been over this.,Police Work
Terry,"All right, look, hands here, stand up straight, chin forward.",Police Work
Terry,Gina!,Conversation Glue
Terry,"Yeah, everybody does stances, Gina. Listen, uh... Hey, all right, all right! Look, hey, both you, just watch.",Police Work
