character,text,coding
Charles,Sure.,conversation_glue
Charles,You could eat off his shirt.,food
Charles,Jamon lberico.,food
Charles,"I think the perfect first date doesn't feel like a first date at all, because you've known each other for a few years, maybe even work together. And one night you're laughing, and then all of a sudden, it's just like blammo! Kissing.",romance
Charles,"Yes, that woman.",conversation_glue
Charles,"So this is kind of a play on your typical Thanksgiving dinner. For turkey, we have the Peking duck with a veggie samosa stuffing. The potatoes are the empanadas with an Ethiopian lentil stew gravy. And for dessert, some seasonal gelatin cups. Okay, I ran out of money. They're from when Hitchcock got his colonoscopy. Bon appétit. (Takes a seat)",food
Charles,(sighs) I'm sorry about the whole pie blowup thing. You're right. The Flatbush Diner pie is awful.,emotion
Charles,That's the spirit!,emotion
Charles,"And if she's right about where we find the drugs, that means she's right about the other thing.",police_work
Charles,Choo. Yes.,conversation_glue
Charles,Maybe he doesn't have any. Interesting fact about me... I once burnt my fingerprints off on a wok.,food
Charles,"Wait. I can fix this, Ray.",emotion
Charles,"Hey, you wanna grab some dinner tonight?",personal_life
Charles,"Yeah, that's why I've never tried to develop an edge. You can't lose what you don't have. No surprises.",emotion
Charles,The psychic predicted the drugs would be found in something blue.,police_work
Charles,I've been waiting so long to hear you say those words. Come with me. Experience the future of cloud-based scheduling.,police_work
Charles,I would never steal his thunder. I-I'd be afraid to borrow it.,emotion
Charles,Is that Rosa? Tell her I said hi.,personal_life
Charles,"Uh, I have to go, too. My flight’s in... Oh boy. Eight hours. I can make it, I’ll just buy a sandwich on the plane.",food
Charles,"The department never washes them, so it's probably vomit. Hey! I got you a chocolate. Yet another great thing about Halloween... chocolate!",food
Charles,"Yeah, he's a little too serious. What do you think, Rosa?",insult_snark
Charles,What? What's going on?,conversation_glue
Charles,"Backing up, guys.",police_work
Charles,Here she is.,conversation_glue
Charles,"Way to go, Jakey.",emotion
Charles,Remember when I took those b*ll*ts for you?,emotion
Charles,"Jake, do you know why little boys pull little girls' pigtails on playgrounds?",romance
Charles,"You just graduated pie school, bitches. Sorry I said ""bitches,"" I'm just really worked up.",food
Charles,Okay. Thanks.,conversation_glue
Charles,Ah...,conversation_glue
Charles,Can't. Firemen locked it down.,police_work
Charles,"You know how it is. When you have a chance to bed an older woman, you...",romance
Charles,"In a word, yes. Amateurs go tasting, they fill up, and they lose their palate by the third slice. I take this very seriously.",food
Charles,"Hi, Cagney. Hi, Lacey.",personal_life
Charles,Darn it. I had a belly dancing class. Tonight was Egyptian undulation.,personal_life
Charles,"Oh, man! My muffin. Ahh! Oh, my head! My muffin, my head! And I stepped on the... On my muffin! And my head and my muffin.",food
Charles,"Hey, that's mine. You took it from my desk.",personal_life
Charles,Hang on. I have a toast. (Stands up) I am thankful to have someone in my life who gives me a reason to get out of bed every morning. And I hope that my relationship with this person will only grow more intimate.,romance
Charles,"'Stume! Oh, my God. It caught on.",personal_life
Charles,"No... yes, I am. Yeah, oldest arrest... 68, like I said.",police_work
Charles,I love the bus!,personal_life
Charles,Wouldn't you like to know?,insult_snark
Charles,How's it going?,conversation_glue
Charles,"You know, the doctor said that if the b*llet was two millimeters to the left and a foot higher, I might never have walked again.",emotion
Charles,How much did you spend on tonight?,personal_life
Charles,"Okay, I guess. I mean, if you don't mind.",conversation_glue
Charles,Yeah!,conversation_glue
Charles,No. I'll be the victim. Don't make me a door again.,emotion
Charles,Thank you.,conversation_glue
Charles,"Jamon lberico is an amazing cured ham from Spain. They had it at my uncle's funeral. I gorged myself at that funeral. I mean, I was constipated for three days.",food
Charles,But don't blink too much.,conversation_glue
Charles,Wait... Hitchcock?,conversation_glue
Charles,"Hey, Gina. You know any scalpers? I wanna ask Rosa to go to the Rihanna concert with me, but it's sold out.",romance
Charles,That's a victory. That's a victory for Boyle. Boom!,emotion
Charles,"Sarge, am I too heavy?",emotion
Charles,Voila!,conversation_glue
Charles,Really?,conversation_glue
Charles,"I don’t know, man. I’m lost. The universe is a cruel and vexing puzzle. I-I’m at the whim of the cosmos.",emotion
Charles,Yup.,conversation_glue
Charles,Lady bin?,conversation_glue
Charles,What? Why?,conversation_glue
Charles,Yes. You have to pull it together.,emotion
Charles,Medically diagnosed thin skin.,emotion
Charles,Great idea.,conversation_glue
