character,text,coding
Rosa,"""Look up who Picasso is.""",insult_snark
Rosa,I think I know what happened.,police_work
Rosa,What are you wearing?,insult_snark
Rosa,Wrong. Ignorant and wrong.,insult_snark
Rosa,"The puncture wounds are similar to a case I had a while back. They aren't from a knife. I think it's something spiral, like a corkscrew.",police_work
Rosa,Are you eating packing peanuts?,insult_snark
Rosa,"Yes, you will.",conversation_glue
Rosa,His pain meds are making him weird.,personal_life
Rosa,"To be perfectly candid, I was pretty sure it was the defendant.",police_work
Rosa,What? I put it up there for safe keeping.,personal_life
Rosa,Babysitting. Ha-ha!,insult_snark
Rosa,"Yeah, guy was passing bad checks.",police_work
Rosa,"No, you can't.",conversation_glue
Rosa,Worse.,insult_snark
Rosa,You did this program?,conversation_glue
Rosa,You think I have an anger problem? I don't. You are both dead to me.,emotion
Rosa,"Ah, come on!",conversation_glue
Rosa,Nothing.,conversation_glue
Rosa,"The guy who did the safe in the second apartment, what was his name?",police_work
Rosa,I don't hear anything.,conversation_glue
Rosa,Why? I'm fine on the stand.,police_work
Rosa,"Stab! Then I... Toss the corkscrew out the window, and it lands on a passing car.",police_work
Rosa,I think he's into me.,romance
Rosa,"Extinguisher's empty, morons.",insult_snark
Rosa,Your wife and Boyle's mom are both blind?,personal_life
Rosa,So what movie did you get us tickets to?,personal_life
Rosa,"Boyle, you're always blogging on that foodie website. Which pie's better?",food
Rosa,"On my count. One, two...",police_work
Rosa,What's happening?,conversation_glue
Rosa,Why stop there? Why not tell her you're an astronaut?,insult_snark
Rosa,You are obviously trying to get me to go to a surprise party. Did Marcus put you up to this?,personal_life
Rosa,"Number three, step forward and say, ""give me your money, you stupid bag of crap.""",police_work
Rosa,A minivan? A-ha!,insult_snark
Rosa,Nope.,conversation_glue
Rosa,You’re the only one who did that.,conversation_glue
Rosa,You know what they don't teach you at the academy? It's better to be a criminal.,police_work
Rosa,"Stop saying ""insatiable.""",conversation_glue
Rosa,"Oh, look at that. ""Boyle saves Thanksgiving.""",personal_life
Rosa,"Oh, I didn't tell you. I got kicked out of ballet school for beating the crap out of ballerinas.",personal_life
Rosa,So all you know is what a bunch of other mopes have said over the years. Anything else?,police_work
Rosa,Of course I'm nervous! What did you think was the problem?,emotion
Rosa,Snitches. What about it?,police_work
Rosa,"Fly to Montreal, hit a classy hotel bar, bone a stranger, slump over.",romance
Rosa,Huh. Boyle's advice worked.,personal_life
Rosa,What is he doing?,conversation_glue
Rosa,We are. Come on. We're taking you home.,personal_life
Rosa,Your client instigated the fight. I'm certain. And I'm happy to tell you why.,conversation_glue
Rosa,"Yeah. 1,000 push-ups.",personal_life
Rosa,That's never happened before. I don't like it.,emotion
Rosa,"I owe you one, Boyle. Thank-you dinner. Tomorrow night. Gribaldi's. It's all-you-can-eat linguini.",food
Rosa,Now I gotta read something?,emotion
Rosa,Also not interesting.,insult_snark
Rosa,"You tell anyone, I break your face. {ROSA CLOSES HER DRAWER WITH HER FOOT}",emotion
Rosa,"Hey, Pembroke. What do you say we go talk about a case in the break room?",police_work
Rosa,"So, if Boyle, Peralta, and the sergeant are out--",police_work
Rosa,"Oh, that's not good.",emotion
Rosa,"Night, Peralta.",conversation_glue
Rosa,Don't quote Die Hard.,insult_snark
Rosa,I love getting to know people. It's my jam.,emotion
Rosa,"Really? 'Cause when you left, you made a pretty big deal of deleting us from your phone.",personal_life
Rosa,Hands on your head!,police_work
Rosa,No way.,conversation_glue
Rosa,"Okay, let's do this. I think you're sweet--",romance
Rosa,"If you wanted to make a bet with Holt, you shoulda made a bet you could win. Like who wears more denim jackets.",insult_snark
Rosa,So what are you doing tonight?,personal_life
Rosa,What is going on?,conversation_glue
Rosa,Yes.,conversation_glue
Rosa,"What? That's not how this works. I said 1,000 push-ups, you have to back me up. That's the pact, end of story.",emotion
Rosa,We're not seeing a movie together.,personal_life
Rosa,What’s up with the chair?,conversation_glue
Rosa,And go!,police_work
