character,text,coding
Terry,"I'm sorry, sir, but that's impossible. With the twins learning how to walk, chaos reigns at the Jeffords household. I can't let those innocent pups into that madhouse. Terry won't do you like that.",personal_life
Terry,Um...I'm building this dollhouse for my girls. It's their birthday tomorrow. I told my wife I'd get it done.,personal_life
Terry,"Any time Mt. Diaz erupts, everyone on the squad avoids her.",emotion
Terry,"Yes. Let's all just count to a million. One, two, three, four, five, six... So then lceman says, ""You can be my wingman any day."" And then Maverick says...",emotion
Terry,"There's a rumor the new captain'll be here today. Now, I don't know who Wuntch is sending us, but it doesn't matter, because we're a family, we're strong, and together, we can do anything. Nine-Nine!",police_work
Terry,"His web handle is ""savant."" His people name is Corey Park.",police_work
Terry,"Oh, now I'm gonna hit you for real.",emotion
Terry,"Yes, Jake. I played linebacker at Syracuse.",personal_life
Terry,I didn't know you went to catholic schooL,personal_life
Terry,"No, not that. My brother-in-law is coming to have dinner with me on his way to JFK. But also the botched investigation, that's bad too.",personal_life
Terry,"Okay, squad, the funeral's at 3:00, followed by a reception at Shaw's Bar. I want you all on your best behavior.",police_work
Terry,"Nothing happened. Jacoby wanted to do wind sprints outside. You know, he's a mean dude, but I think I'm making progress. He asked to borrow my squat belt, I told him no, he respected that.",police_work
Terry,'Sup?,conversation_glue
Terry,And always make good eye contact.,police_work
Terry,The man is the real deal. You need to listen to him.,police_work
Terry,"Actually, there was an incident after that.",conversation_glue
Terry,"Everything's spoiled. My lunch is ruined. My chicken, my potatoes, my pasta, my meatballs, ham, my yogurt. (Takes out every meal)",food
Terry,"All right, look, hands here, stand up straight, chin forward.",police_work
Terry,I think I’m ready. I’m no longer fixating on my fears.,emotion
Terry,"Ah, you must be Simon Walker. Have a seat. It says here you were an I.T. Specialist with the board of ed for two years.",police_work
Terry,"You know, I just want to let you guys know that I love you girls so, so much okay? So sleep tight. You know, daddy will never leave you, right, girls?",personal_life
Terry,"When you're that big, you buy anything that fits. A lot of fat guy clothes have racist overtones.",emotion
Terry,And I'm still not right.,emotion
Terry,"All right, let's get started. Scully. Where are you on digitizing the old case files?",police_work
Terry,My tolerance has really changed since I had kids!,personal_life
Terry,All right. It's time to catch some bad guys. Its good to be back.,police_work
Terry,I didn't. Brooklyn Bulk Fitness.,personal_life
Terry,"You wanted something, sir?",conversation_glue
Terry,You made a mixtape?,personal_life
Terry,Oh?,conversation_glue
Terry,Nope. The longer we wait the more likely our cover gets blown. I'll make contact.,police_work
Terry,"Oh, I'm gonna find out anyway.",emotion
Terry,"He must have gotten it from the evidence locker or something. Don't worry. I had a backup plan. I distracted her with a mirror. She's like a cockatiel, sir... Fascinated by her own reflection.",police_work
Terry,You gonna talk to me now?,police_work
Terry,"He was trying to make our precinct better. Look. Holt's gone, Dozerman died. Who knows who we're getting next? I'm just trying to keep this place running. That's my job. Case cleared! Yeah, how do you like me now, sucker? I mean, I hope you found peace.",police_work
Terry,Peralta... Where are we on the Lincoln place murder?,police_work
Terry,Peralta! Now.,police_work
Terry,Did he let you play your mixtape?,personal_life
Terry,But we'd love to hear it again.,personal_life
Terry,"Look, baby, I'm sorry, but Captain's life was in danger. I just did what I had to do. It was an impulse decision.",emotion
Terry,"She and Peralta have some big bet over who gets more arrests this year. Ever since the bet, their numbers have gone way up.",police_work
Terry,"Scully, I love it! Everyone follow his lead.",police_work
Terry,This is such a disaster.,emotion
Terry,"Really? A tad, icarus?",insult_snark
Terry,"Let's talk strategy later tonight at my house. My wife's working late, I'm on daddy duty.",police_work
Terry,"What are you doing, Peralta? You just blew my cover!",police_work
Terry,"Okay, so I've already taken care of a few obvious problems. I moved the toaster to the break room, far away from Boyle.",police_work
Terry,Bring out the meringues.,food
Terry,Release your sweets.,food
Terry,"Peralta, Dozerman says he wants to see you.",police_work
Terry,What letter?,conversation_glue
Terry,No. Where is it?,conversation_glue
Terry,I can do it.,conversation_glue
Terry,"You got a second, Captain? I've got these overtime forms for you to s...",police_work
Terry,"Sorry, Santiago, I don’t have time for that. My psych evaluation is today. They’re gonna decide if I’m ready to go back on the streets.",emotion
Terry,You probably read a Maya Angelou poem at your graduation and cried.,insult_snark
Terry,That's a really good idea!,conversation_glue
Terry,We good. And for the record... If I could be any kind of vacation... I'd be lake trip.,personal_life
Terry,I left one for you.,conversation_glue
Terry,"Well, guess what she said. Apparently, you were a model student and transferred of your own volition.",personal_life
Terry,That's mine. It's a t-shirt from my fat phase.,personal_life
Terry,"I know you're not a toddler, because my toddlers know that ""stupid"" is a no-no word. Keep that Dozer-pad on you at all times.",insult_snark
Terry,The boss is taking heat for something that's not even his fault. I can't let that happen.,police_work
Terry,Is it in your pockets?,conversation_glue
Terry,"'Cause it's important! When I saw you in the office this morning, I wanted to give you the biggest hug.",emotion
Terry,"Man, don't be hacking into my stuff.",personal_life
Terry,"Oh, I love being Scary Terry. He says what regular Terry's thinking.",emotion
Terry,Whoo!,conversation_glue
Terry,"Damn it, Boyle. You left the fridge open. The door couldn't shut because of your empty pizza box.(Takes out the pizza box)",food
Terry,Jacob Peralta is my best detective. He likes putting away bad guys and he loves solving puzzles. The only puzzle he hasn't solved is how to grow up.,police_work
Terry,Why are you counting my shots? Are you trying to have me recertified?,police_work
Terry,"Point to your delts, Jake.",police_work
Terry,"Whoa, Detective Santiago.",conversation_glue
Terry,"Gina, we've been looking all over for you. You can't just disappear and leave a sign on your desk that says, ""gone leavin'.""",police_work
Terry,This is takin' too long! I'm gonna miss the farmer's market!,personal_life
Terry,No! Gina! We've been over this.,emotion
Terry,"This seminar is not optional, Diaz. You're testifying in an aggravated assault case tomorrow. The D.A. is worried about how you present yourself on the stand.",police_work
Terry,What are you talking about?,conversation_glue
Terry,Sir?,conversation_glue
Terry,You two have something to tell me?,personal_life
Terry,Make it five.,conversation_glue
Terry,How about we focus on the murder and not the old person gunk?,police_work
Terry,Got it.,conversation_glue
Terry,What would you say is your biggest weakness as an employee?,police_work
Terry,Get a doctor!,police_work
Terry,You sure you can lift this much weight?,personal_life
Terry,We're cool.,emotion
Terry,Captain Holt will be here soon. He'll wanna introduce himself. Dismissed.,police_work
Terry,How old is Kelly again?,personal_life
Terry,Sir?,conversation_glue
Terry,Boyle gets cold a lot because of what he calls his...,personal_life
Terry,"I know that, Boyle.",conversation_glue
Terry,We need to soften up your look. My wife and Charles's mom donated some clothes.,police_work
Terry,"Hey, excuse me. Can we please eat? My body is starting to digest itself. Terry needs nutrients.",food
Terry,He can clearly spot 'em. You should take my minivan.,personal_life
Terry,What's that noise?,conversation_glue
Terry,Yes.,conversation_glue
Terry,We got the letter.,police_work
Terry,It's just the target looks exactly like a friend of mine. It's just freaking me out.,emotion
Terry,There's a lot of food up there?,food
