label,term,tfidf_mean,doc_count
Conversation Glue,yeah,0.05170668700742165,108
Conversation Glue,know,0.047654822870386776,108
Conversation Glue,yes,0.04666198001060418,108
Conversation Glue,thank,0.039258333319249016,108
Conversation Glue,going,0.03509987354578894,108
Conversation Glue,sir,0.034360567808951185,108
Conversation Glue,oh,0.034096913440002465,108
Conversation Glue,great,0.03369873468225628,108
Conversation Glue,come,0.029470754903324868,108
Conversation Glue,right,0.027539856238543388,108
Emotion,oh,0.042575722172131604,80
Emotion,damn,0.035620681274225095,80
Emotion,sir,0.0318074457069918,80
Emotion,don,0.028345677188401898,80
Emotion,just,0.027430923353500298,80
Emotion,boyle,0.025008952220192348,80
Emotion,wow,0.025,80
Emotion,perfect,0.025,80
Emotion,yeah,0.02265861895083556,80
Emotion,make,0.021663579035157206,80
Food,food,0.033234321807407444,61
Food,pie,0.032925274523278966,61
Food,eat,0.02784805120021409,61
Food,yogurt,0.02655671730135373,61
Food,pizza,0.02588170107581608,61
Food,pockets,0.025184872228459085,61
Food,lunch,0.025082169941413265,61
Food,just,0.021221190549151035,61
Food,lot,0.02115589653775737,61
Food,best,0.020281669132092426,61
Insult / Snark,hit,0.09536277076749108,18
Insult / Snark,gonna,0.08009454015093276,18
Insult / Snark,wouldn,0.07341179196613273,18
Insult / Snark,guy,0.06886313016418416,18
Insult / Snark,try,0.06635347394352252,18
Insult / Snark,like,0.06019599541870265,18
Insult / Snark,hand,0.059233731649506106,18
Insult / Snark,know,0.05396210882436974,18
Insult / Snark,icarus,0.04742036851722897,18
Insult / Snark,scared,0.044985502611204514,18
Personal Life,just,0.027333522436155378,150
Personal Life,jake,0.02687643548974981,150
Personal Life,know,0.024801598878933066,150
Personal Life,like,0.01949465592484047,150
Personal Life,wife,0.019255813305126223,150
Personal Life,hey,0.019135460668141945,150
Personal Life,oh,0.017164004611221396,150
Personal Life,yeah,0.016333477632657478,150
Personal Life,ll,0.014935022799391788,150
Personal Life,little,0.01438259793969034,150
Police Work,right,0.029501405206793025,160
Police Work,need,0.025363898498394773,160
Police Work,peralta,0.024617298614433413,160
Police Work,don,0.021085609723326855,160
Police Work,captain,0.020020868750006728,160
Police Work,diaz,0.018963494339761557,160
Police Work,sir,0.018873631868846878,160
Police Work,good,0.01787293560246174,160
Police Work,man,0.016535627850865778,160
Police Work,case,0.016463800756073545,160
Romance,rosa,0.12531895639787774,23
Romance,woman,0.09668523730482233,23
Romance,girls,0.07205010373386853,23
Romance,like,0.06548886446710375,23
Romance,just,0.04892419329311465,23
Romance,wanna,0.040110862367079336,23
Romance,chance,0.03918381716011644,23
Romance,date,0.03834634590800107,23
Romance,rose,0.035939171639491965,23
Romance,thing,0.03542574099275307,23
